project_id,domain,methodology,team_location,vendor_contract_type,planned_budget_lakhs,planned_duration_days,team_size,team_experience_years_avg,tech_complexity,requirements_changes,open_bugs_count,vendor_dependency,stakeholder_count,offshore_ratio,sprint_length_days,story_points_planned,completed_rate,issue_churn_rate,reopens_rate,dependency_count,overdue_tasks_pct,requirements_clarity,risk_register_count,past_similar_success_rate,buffer_days,schedule_slippage_pct,cost_variance_pct,risk,risk_level
P1497,Healthcare,Agile,Co-located,Managed Services,38.59,383,13,6.67,5,14,12,0,7,0.278,14,87,0.638,0.262,0.163,6,0.045,2,2,0.423,17,13.89,9.31,1,High
P1199,Government,Waterfall,Hybrid,T&M,6.7,413,15,5.95,5,16,13,1,13,0.798,0,0,0.896,0.188,0.351,6,0.046,2,7,0.74,12,27.56,21.98,1,High
P1070,Healthcare,Waterfall,Distributed,T&M,17.07,469,8,7.93,2,6,7,1,6,0.172,0,0,0.882,0.252,0.042,7,0.28,4,4,0.541,0,3.2,8.82,0,Low
P1953,E-commerce,Hybrid,Co-located,T&M,27.05,538,9,5.09,2,20,7,1,11,0.295,0,0,0.804,0.092,0.263,5,0.067,4,6,0.534,2,2.31,7.47,0,Low
P1510,Fintech,Waterfall,Co-located,T&M,21.04,202,14,2.77,2,6,8,1,18,0.69,0,0,0.858,0.292,0.116,14,0.136,5,3,0.644,0,0.0,3.45,0,Low
P1207,Government,Waterfall,Co-located,Fixed Bid,16.33,78,17,5.74,3,6,8,0,16,0.075,0,0,1.053,0.35,0.198,13,0.336,2,4,0.768,6,1.37,21.98,0,Medium
P1637,Fintech,Agile,Co-located,Fixed Bid,27.93,143,12,6.05,5,15,10,1,12,0.191,7,179,0.798,0.212,0.004,9,0.098,1,8,0.773,12,31.78,18.87,1,High
P1220,Healthcare,Waterfall,Distributed,T&M,27.2,442,13,7.65,3,8,5,0,19,0.288,0,0,0.88,0.21,0.048,4,0.179,3,5,0.621,16,12.48,6.14,0,Low
P1244,Retail,Agile,Co-located,T&M,11.7,528,16,5.0,5,18,15,0,11,0.182,7,81,0.934,0.296,0.28,4,0.005,1,5,0.587,9,25.72,13.91,1,High
P1103,Government,Agile,Co-located,Fixed Bid,115.41,189,14,2.6,2,22,7,1,15,0.282,14,238,0.787,0.098,0.369,5,0.232,5,3,0.547,18,13.64,5.86,0,Medium
P1872,Government,Waterfall,Hybrid,Fixed Bid,32.91,205,13,5.94,3,10,8,0,13,0.574,0,0,0.805,0.33,0.065,11,0.184,4,1,0.33,9,6.91,6.71,0,Low
P1633,Government,Agile,Co-located,T&M,33.24,245,14,4.01,1,13,2,1,16,0.122,14,146,0.82,0.247,0.115,7,0.13,4,1,0.751,6,0.0,6.83,0,Low
P1507,Government,Hybrid,Distributed,Managed Services,25.43,133,14,5.13,2,12,3,0,5,0.511,0,0,0.894,0.108,0.037,11,0.221,5,0,0.985,14,0.0,-3.13,0,Low
P1902,Government,Agile,Distributed,Fixed Bid,44.3,457,16,6.08,3,15,5,1,13,0.491,14,96,0.736,0.184,0.282,8,0.059,2,4,0.163,5,29.29,7.01,1,High
P1976,Fintech,Waterfall,Distributed,T&M,43.98,126,18,2.87,4,9,12,1,15,0.266,0,0,0.936,0.396,0.129,8,0.187,2,9,0.405,13,28.96,12.77,1,High
P1683,Telecom,Waterfall,Co-located,Fixed Bid,41.89,187,12,5.59,1,9,6,0,13,0.324,0,0,0.911,0.318,0.231,6,0.168,4,1,0.805,23,6.22,-0.76,0,Low
P1658,Telecom,Waterfall,Co-located,T&M,28.3,78,12,5.15,5,13,9,0,10,0.197,0,0,0.849,0.323,0.023,13,0.0,1,7,0.886,0,24.13,20.84,1,High
P1909,Fintech,Agile,Hybrid,Fixed Bid,34.51,468,8,2.21,3,12,12,1,17,0.108,14,257,0.792,0.5,0.038,13,0.11,4,6,0.403,12,25.67,15.59,1,High
P1269,Telecom,Agile,Distributed,Fixed Bid,16.25,449,16,5.51,4,16,2,0,9,0.079,7,344,1.002,0.304,0.034,7,0.109,1,8,0.676,17,27.24,12.54,1,High
P1593,Retail,Agile,Distributed,Fixed Bid,18.04,474,14,4.19,3,10,10,1,11,0.506,14,131,0.766,0.221,0.074,8,0.189,4,5,0.533,15,22.2,20.81,1,Medium
P1026,Healthcare,Agile,Hybrid,T&M,83.12,432,11,5.99,3,14,7,1,20,0.65,14,139,0.584,0.143,0.201,14,0.178,2,5,0.732,14,22.95,13.7,1,High
P1494,Retail,Agile,Hybrid,T&M,34.76,134,17,5.76,3,19,13,1,5,0.472,7,242,0.814,0.212,0.241,3,0.032,3,5,0.741,12,9.29,2.61,0,Low
P1191,E-commerce,Hybrid,Co-located,Fixed Bid,70.31,282,11,5.69,1,9,4,0,11,0.462,0,0,1.013,0.03,0.336,5,0.0,4,2,0.842,18,0.0,2.68,0,Low
P1304,E-commerce,Waterfall,Co-located,Managed Services,27.99,293,11,5.44,2,6,10,1,20,0.394,0,0,0.924,0.234,0.202,13,0.255,4,5,0.503,12,14.07,20.09,1,Medium
P1213,Government,Agile,Distributed,Managed Services,63.6,321,12,2.49,5,12,11,0,3,0.569,14,141,0.849,0.322,0.103,7,0.075,1,9,0.635,8,29.15,30.17,1,High
P1700,E-commerce,Agile,Co-located,Fixed Bid,21.51,244,10,1.58,1,16,5,1,3,0.587,14,220,1.007,0.269,0.157,12,0.134,4,1,0.54,10,0.0,7.52,0,Low
P1822,Telecom,Agile,Hybrid,Fixed Bid,6.47,344,15,5.69,2,14,5,0,18,0.072,7,194,0.714,0.15,0.4,7,0.26,4,2,0.634,0,4.81,4.44,0,Low
P1670,Government,Agile,Co-located,Fixed Bid,34.42,325,9,4.54,2,12,7,1,7,0.32,7,280,0.726,0.058,0.084,12,0.034,4,0,0.752,11,0.0,-7.66,0,Low
P1732,Fintech,Waterfall,Co-located,Managed Services,41.64,186,10,9.44,5,12,13,0,3,0.166,0,0,1.005,0.404,0.165,4,0.144,1,8,0.983,8,11.38,5.45,0,Low
P1055,Retail,Hybrid,Co-located,T&M,33.31,358,12,4.24,5,7,11,0,19,0.223,0,0,0.966,0.348,0.09,10,0.155,1,8,0.922,16,32.04,28.37,1,High
P1139,Fintech,Hybrid,Co-located,Managed Services,107.16,214,14,2.55,5,17,12,0,6,0.166,0,0,0.877,0.244,0.102,5,0.0,1,7,0.205,0,32.42,25.66,1,High
P1820,Government,Hybrid,Distributed,T&M,14.57,255,14,6.5,3,10,9,0,6,0.721,0,0,0.988,0.429,0.114,12,0.022,2,10,0.768,2,10.47,0.95,0,Medium
P1296,Healthcare,Waterfall,Hybrid,Fixed Bid,76.77,363,6,1.91,2,7,6,0,20,0.33,0,0,0.797,0.03,0.21,5,0.062,5,4,0.588,0,3.79,-4.07,0,Low
P1415,Fintech,Agile,Hybrid,Fixed Bid,40.28,456,15,5.14,3,14,13,0,10,0.119,7,328,0.817,0.341,0.4,4,0.0,4,2,0.316,18,0.59,11.67,0,Low
P1427,Fintech,Hybrid,Co-located,T&M,40.85,307,14,4.9,5,20,9,0,13,0.769,0,0,0.993,0.181,0.318,15,0.164,2,7,0.647,11,22.9,16.89,1,High
P1082,Telecom,Agile,Distributed,T&M,16.03,137,19,3.72,4,21,8,0,20,0.805,7,155,0.869,0.114,0.048,14,0.203,3,2,0.809,5,36.61,16.56,1,High
P1075,E-commerce,Waterfall,Co-located,Managed Services,10.69,345,22,6.86,4,12,15,1,10,0.476,0,0,0.883,0.24,0.068,0,0.08,2,7,0.339,11,9.65,14.05,1,High
P1697,Telecom,Waterfall,Hybrid,Fixed Bid,37.34,204,17,3.83,5,13,9,1,6,0.557,0,0,1.1,0.3,0.366,2,0.008,1,5,0.902,5,28.91,15.34,1,High
P1888,Healthcare,Agile,Co-located,T&M,57.51,221,14,0.79,5,18,18,0,9,0.123,14,100,0.771,0.5,0.164,6,0.158,1,6,0.095,1,28.54,23.36,1,High
P1457,Telecom,Agile,Co-located,Fixed Bid,60.72,203,7,6.45,3,20,8,0,10,0.195,7,102,0.686,0.302,0.085,15,0.241,4,2,0.864,5,0.29,10.05,0,Low
P1475,E-commerce,Hybrid,Distributed,T&M,28.68,68,15,2.42,3,20,7,1,14,0.161,0,0,0.859,0.097,0.079,5,0.158,3,2,0.738,11,16.64,16.0,1,High
P1897,Healthcare,Hybrid,Distributed,T&M,24.64,314,16,9.46,4,14,8,1,5,0.796,0,0,0.95,0.39,0.099,6,0.175,2,4,0.676,7,0.19,-3.37,0,Low
P1851,Retail,Waterfall,Co-located,T&M,49.79,478,14,1.15,4,6,10,0,14,0.286,0,0,1.1,0.222,0.05,11,0.061,3,4,0.758,10,23.9,27.7,1,High
P1513,E-commerce,Hybrid,Co-located,T&M,40.06,320,13,8.7,5,20,18,1,20,0.422,0,0,0.91,0.134,0.345,11,0.142,1,10,0.72,10,27.2,26.5,1,High
P1605,Telecom,Agile,Distributed,Fixed Bid,23.58,139,15,0.5,4,10,13,1,14,0.273,7,326,0.964,0.123,0.277,0,0.169,2,7,0.775,8,27.71,18.83,1,High
P1112,Government,Hybrid,Distributed,T&M,13.3,381,8,5.82,1,17,4,1,16,0.686,0,0,1.064,0.299,0.049,12,0.063,5,0,0.657,12,2.8,2.27,0,Low
P1859,Telecom,Agile,Distributed,T&M,13.55,272,9,6.64,5,14,13,1,13,0.095,7,191,0.78,0.391,0.098,5,0.012,1,3,0.443,1,28.65,13.98,1,High
P1211,Retail,Waterfall,Hybrid,Managed Services,27.06,389,14,8.56,1,5,5,0,8,0.08,0,0,0.979,0.057,0.209,11,0.0,5,1,0.633,17,7.69,-3.54,0,Low
P1938,Fintech,Agile,Distributed,Fixed Bid,67.92,439,14,5.18,2,15,6,0,4,0.825,14,232,0.716,0.267,0.052,11,0.059,4,3,0.41,9,8.19,2.24,0,Low
P1757,Retail,Agile,Co-located,T&M,23.29,336,8,6.55,1,13,3,1,11,0.294,7,194,0.776,0.077,0.284,10,0.224,5,0,0.726,16,0.0,0.66,0,Low
P1161,Healthcare,Waterfall,Co-located,Managed Services,75.79,76,15,3.48,5,8,13,0,14,0.083,0,0,0.893,0.319,0.273,13,0.131,2,3,0.36,13,30.94,18.98,1,High
P1536,Telecom,Hybrid,Co-located,Fixed Bid,35.84,486,17,6.17,4,20,14,0,5,0.545,0,0,0.773,0.341,0.011,9,0.001,2,2,0.895,5,30.34,12.09,1,High
P1149,Healthcare,Agile,Co-located,T&M,21.67,251,12,2.46,4,17,15,1,5,0.515,7,274,0.85,0.25,0.042,7,0.235,3,6,0.599,8,18.24,27.98,1,High
P1730,Fintech,Agile,Distributed,Fixed Bid,31.27,80,15,6.54,2,16,6,0,16,0.438,7,376,1.044,0.293,0.4,6,0.131,5,1,0.318,15,3.58,4.71,0,Low
P1005,Government,Agile,Hybrid,Fixed Bid,24.35,539,17,2.8,1,9,8,1,15,0.278,14,356,0.76,0.454,0.305,11,0.373,5,5,0.494,8,13.62,8.69,0,Low
P1827,Fintech,Agile,Distributed,T&M,33.6,73,17,5.53,4,11,8,1,18,0.719,7,388,0.891,0.144,0.4,12,0.0,2,5,0.662,12,10.92,17.73,1,High
P1045,Government,Waterfall,Co-located,Fixed Bid,20.5,259,11,6.4,3,9,4,1,16,0.522,0,0,0.84,0.281,0.144,10,0.0,3,6,0.915,11,7.36,7.17,0,Low
P1878,E-commerce,Agile,Co-located,T&M,14.12,77,16,7.14,4,13,9,0,11,0.435,14,279,0.769,0.203,0.164,4,0.06,2,4,0.704,5,0.0,5.21,0,Low
P1408,Fintech,Hybrid,Co-located,Managed Services,20.27,210,18,8.34,3,16,4,0,11,0.582,0,0,1.057,0.5,0.374,11,0.191,4,2,0.987,14,10.88,-0.93,0,Low
P1705,Government,Hybrid,Distributed,Managed Services,60.32,355,15,6.46,1,18,1,0,9,0.139,0,0,0.92,0.115,0.067,13,0.147,4,3,0.779,21,0.0,-2.03,0,Low
P1945,Retail,Agile,Co-located,T&M,17.03,537,6,4.27,5,20,16,0,4,0.255,14,203,1.04,0.31,0.026,3,0.118,1,10,0.368,5,28.49,18.82,1,High
P1376,Fintech,Hybrid,Co-located,T&M,68.55,171,17,5.04,1,13,4,0,13,0.618,0,0,0.846,0.347,0.067,7,0.278,5,3,0.445,8,0.0,-10.0,0,Low
P1808,Fintech,Agile,Co-located,Fixed Bid,34.59,310,15,5.61,2,15,3,0,9,0.696,7,189,0.819,0.099,0.29,10,0.131,3,5,0.441,16,1.75,5.0,0,Low
P1428,Fintech,Agile,Distributed,T&M,27.73,186,12,5.14,1,10,4,1,12,0.717,7,372,0.769,0.33,0.141,8,0.041,5,1,0.903,9,2.95,8.16,0,Low
P1231,E-commerce,Agile,Co-located,T&M,31.07,528,9,6.95,1,13,5,1,20,0.593,14,243,1.003,0.062,0.217,1,0.0,4,3,0.59,4,3.39,7.39,0,Low
P1654,Healthcare,Agile,Distributed,T&M,47.89,479,8,2.65,5,16,11,0,6,0.268,7,373,1.15,0.215,0.089,5,0.0,1,10,0.831,11,39.84,30.75,1,High
P1611,Telecom,Waterfall,Co-located,T&M,15.07,511,17,7.17,1,7,3,0,11,0.342,0,0,0.906,0.5,0.166,5,0.189,5,2,0.615,6,0.53,-4.46,0,Low
P1020,Government,Waterfall,Distributed,Fixed Bid,52.06,114,12,5.88,4,9,10,1,5,0.19,0,0,0.829,0.473,0.33,11,0.034,1,6,0.776,17,32.5,20.2,1,High
P1641,Telecom,Agile,Hybrid,T&M,24.22,75,17,7.82,1,14,5,1,10,0.194,7,198,0.763,0.396,0.086,14,0.129,5,1,0.643,9,3.07,-0.74,0,Low
P1332,Telecom,Agile,Co-located,Fixed Bid,48.0,305,15,9.26,1,18,3,1,8,0.54,14,195,1.078,0.387,0.15,11,0.306,5,1,0.422,10,1.44,-5.69,0,Low
P1563,Fintech,Agile,Co-located,T&M,38.13,427,8,6.98,3,22,10,0,15,0.24,14,196,0.882,0.136,0.07,3,0.038,2,6,0.544,14,13.73,-1.87,0,Low
P1942,Telecom,Waterfall,Co-located,Fixed Bid,39.15,509,13,3.92,1,10,5,0,11,0.279,0,0,0.993,0.268,0.185,9,0.071,4,3,0.458,16,6.04,-0.39,0,Low
P1446,Fintech,Hybrid,Co-located,T&M,20.46,480,14,5.01,1,10,6,1,16,0.642,0,0,0.89,0.15,0.4,8,0.0,5,1,0.671,11,2.13,-10.0,0,Low
P1914,Telecom,Waterfall,Distributed,Managed Services,57.95,265,16,2.62,5,9,7,0,11,0.537,0,0,1.088,0.117,0.4,7,0.0,1,6,0.725,17,31.45,14.21,1,High
P1782,Telecom,Agile,Distributed,Fixed Bid,46.16,396,18,4.58,1,16,2,1,7,0.262,7,392,0.79,0.351,0.069,11,0.0,4,5,0.799,4,15.69,-0.57,0,Low
P1599,Telecom,Agile,Co-located,T&M,27.27,157,18,4.52,2,11,6,1,4,0.605,14,355,1.075,0.341,0.042,10,0.116,5,1,0.82,16,1.55,-7.25,0,Low
P1027,Retail,Agile,Hybrid,T&M,35.97,177,11,5.6,3,17,10,0,8,0.525,7,395,0.9,0.146,0.034,13,0.129,2,5,0.272,14,13.51,20.96,1,Medium
P1430,Government,Agile,Co-located,T&M,153.36,99,13,3.46,2,12,7,0,9,0.22,7,122,0.728,0.472,0.119,7,0.041,3,3,0.849,11,3.22,-2.53,0,Low
P1908,Healthcare,Agile,Co-located,Fixed Bid,84.94,507,15,10.05,3,11,3,0,20,0.45,7,340,0.72,0.428,0.215,14,0.276,3,6,0.582,1,6.54,4.42,0,Low
P1736,Healthcare,Agile,Co-located,Managed Services,33.56,530,16,6.0,4,21,10,1,18,0.281,14,145,0.946,0.381,0.163,7,0.047,2,4,0.291,6,26.32,20.44,1,High
P1543,Government,Waterfall,Co-located,T&M,68.38,319,15,3.91,3,7,14,1,12,0.27,0,0,1.07,0.271,0.066,0,0.032,2,3,0.47,1,20.15,20.56,1,High
P1098,Retail,Agile,Distributed,Managed Services,17.87,338,8,4.75,1,20,11,0,6,0.758,14,286,0.832,0.051,0.35,15,0.201,4,1,0.923,21,2.85,-0.89,0,Low
P1402,Healthcare,Agile,Distributed,T&M,32.5,450,9,6.34,5,12,11,0,16,0.276,7,233,0.967,0.5,0.151,4,0.0,1,5,0.682,9,33.04,19.96,1,High
P1054,Government,Waterfall,Distributed,T&M,12.31,393,14,4.97,1,5,6,1,12,0.401,0,0,0.96,0.295,0.4,13,0.065,5,0,0.645,19,2.67,0.61,0,Low
P1537,E-commerce,Agile,Distributed,Managed Services,23.25,478,12,5.98,5,17,7,1,18,0.27,14,114,0.787,0.5,0.254,6,0.0,1,9,0.577,13,21.96,14.51,1,High
P1701,Fintech,Agile,Co-located,Fixed Bid,12.96,121,8,5.88,1,16,2,1,8,0.586,14,92,0.555,0.14,0.385,5,0.049,5,3,0.526,6,5.26,0.21,0,Low
P1484,Healthcare,Waterfall,Co-located,Fixed Bid,143.56,256,14,2.31,3,9,7,1,10,0.591,0,0,0.878,0.161,0.062,2,0.199,2,5,0.617,13,30.09,20.45,1,High
P1108,Telecom,Agile,Distributed,T&M,25.57,446,19,5.03,1,19,12,0,20,0.75,14,285,0.789,0.349,0.053,11,0.15,5,2,0.608,9,6.32,4.24,0,Low
P1516,Government,Agile,Hybrid,T&M,63.89,241,15,5.86,4,16,11,0,15,0.371,14,215,0.813,0.054,0.188,9,0.334,1,10,0.854,21,29.18,11.3,1,High
P1723,Fintech,Waterfall,Hybrid,T&M,11.99,154,20,3.66,1,6,4,1,16,0.301,0,0,0.914,0.5,0.385,4,0.236,4,3,0.49,18,6.19,-1.02,0,Low
P1849,Government,Waterfall,Hybrid,Fixed Bid,25.91,467,13,5.65,4,7,17,1,19,0.778,0,0,0.902,0.408,0.275,8,0.06,1,7,0.371,7,35.61,22.77,1,High
P1979,E-commerce,Waterfall,Hybrid,T&M,20.4,235,11,6.55,3,7,6,0,8,0.132,0,0,0.953,0.108,0.068,14,0.052,3,1,0.661,3,21.01,-6.73,0,Low
P1503,Telecom,Hybrid,Co-located,T&M,20.59,259,15,6.42,4,15,6,0,18,0.604,0,0,0.957,0.424,0.336,11,0.237,1,4,0.335,9,23.32,15.56,1,High
P1396,Government,Hybrid,Distributed,Managed Services,77.55,141,21,3.07,3,20,5,1,5,0.27,0,0,0.843,0.452,0.059,6,0.089,2,8,0.644,9,27.19,15.12,1,High
P1043,Retail,Hybrid,Co-located,T&M,15.37,203,13,4.05,4,18,11,0,6,0.563,0,0,0.742,0.252,0.296,6,0.112,2,5,0.847,18,23.66,24.23,1,Medium
P1373,Healthcare,Waterfall,Distributed,Fixed Bid,38.53,451,11,5.77,4,19,6,0,11,0.471,0,0,0.995,0.356,0.16,9,0.159,3,7,0.486,19,19.03,20.14,1,High
P1921,Telecom,Agile,Co-located,T&M,33.44,225,15,4.35,3,17,11,0,14,0.605,14,324,0.776,0.307,0.4,12,0.118,3,3,0.957,19,6.71,8.33,0,Low
P1412,Fintech,Hybrid,Distributed,Fixed Bid,20.59,388,18,8.3,2,13,2,0,9,0.76,0,0,0.854,0.347,0.179,4,0.0,4,5,0.817,0,0.0,-10.0,0,Low
P1280,Fintech,Hybrid,Co-located,T&M,45.38,307,9,9.51,3,12,2,0,16,0.423,0,0,0.802,0.044,0.4,3,0.265,2,1,0.629,22,3.42,-3.43,0,Low
P1553,E-commerce,Waterfall,Co-located,T&M,46.81,135,14,7.42,5,10,10,0,19,0.448,0,0,0.945,0.044,0.231,13,0.0,1,7,0.713,20,27.21,8.16,1,Medium
P1821,Retail,Agile,Co-located,T&M,15.61,275,11,7.81,5,20,14,0,12,0.267,7,160,0.85,0.5,0.136,0,0.123,2,5,0.805,19,23.04,8.95,1,High
P1434,Telecom,Agile,Distributed,Fixed Bid,67.24,314,10,5.88,5,25,16,1,8,0.437,14,187,0.878,0.461,0.366,6,0.085,2,9,0.736,8,33.21,26.56,1,High
P1710,Healthcare,Waterfall,Distributed,Fixed Bid,48.9,365,8,6.03,3,7,14,0,15,0.308,0,0,0.937,0.36,0.109,15,0.222,4,5,0.26,0,24.51,12.71,1,Medium
P1476,Healthcare,Agile,Hybrid,Fixed Bid,29.14,71,15,2.82,2,14,6,1,18,0.411,7,161,0.785,0.086,0.187,12,0.203,3,4,0.675,4,11.21,3.47,0,Low
P1169,E-commerce,Waterfall,Distributed,T&M,22.03,387,13,1.67,1,6,5,0,13,0.514,0,0,0.961,0.137,0.042,12,0.348,4,1,0.598,17,13.48,11.17,0,Medium
P1009,Retail,Waterfall,Co-located,Fixed Bid,27.64,357,14,2.97,3,12,10,0,4,0.176,0,0,0.987,0.413,0.229,0,0.088,4,4,0.959,6,14.7,6.37,0,Medium
P1254,Healthcare,Agile,Co-located,Managed Services,23.23,194,16,6.19,2,15,4,0,4,0.358,7,306,0.787,0.257,0.354,14,0.249,5,4,0.785,14,2.65,6.25,0,Low
P1786,Healthcare,Waterfall,Co-located,Fixed Bid,26.83,450,22,4.74,1,11,7,1,17,0.43,0,0,0.883,0.182,0.086,14,0.065,4,1,0.673,9,7.34,12.0,0,Low
P1470,Retail,Agile,Co-located,Fixed Bid,15.64,149,12,5.14,4,22,13,1,13,0.611,7,200,1.053,0.078,0.03,7,0.25,3,2,0.767,19,21.91,10.46,1,Medium
P1399,Retail,Waterfall,Distributed,T&M,23.17,519,16,3.25,4,10,14,0,13,0.13,0,0,0.712,0.29,0.051,8,0.062,3,3,0.567,4,27.73,13.36,1,High
P1299,Government,Agile,Distributed,T&M,29.26,133,14,3.12,1,12,4,1,3,0.578,14,308,0.797,0.228,0.375,14,0.106,5,0,0.458,15,0.0,5.58,0,Low
P1056,Fintech,Agile,Hybrid,T&M,115.05,213,16,7.39,3,17,7,0,17,0.442,7,305,0.864,0.059,0.24,2,0.127,4,3,0.829,17,5.67,11.18,0,Low
P1308,Retail,Waterfall,Co-located,Fixed Bid,11.01,338,8,6.31,2,6,5,0,15,0.369,0,0,0.885,0.057,0.062,13,0.067,4,3,0.655,14,1.94,0.37,0,Low
P1657,E-commerce,Agile,Co-located,T&M,54.43,367,15,6.61,3,17,5,0,17,0.522,14,309,0.931,0.276,0.059,15,0.195,2,3,0.193,10,10.91,4.44,1,Medium
P1754,Fintech,Agile,Co-located,T&M,27.79,296,14,5.63,1,14,10,1,15,0.149,7,232,0.849,0.289,0.066,7,0.272,5,1,0.654,11,0.0,1.87,0,Low
P1224,Healthcare,Agile,Distributed,T&M,20.0,67,12,4.72,4,13,7,1,13,0.371,14,315,0.894,0.499,0.102,8,0.101,2,7,0.84,11,27.2,20.55,1,High
P1146,E-commerce,Waterfall,Distributed,Managed Services,93.14,128,15,1.79,4,10,12,0,16,0.363,0,0,0.966,0.112,0.293,9,0.305,3,4,0.637,11,33.23,13.49,1,High
P1753,E-commerce,Agile,Distributed,T&M,21.39,252,15,4.34,2,13,5,1,10,0.153,7,116,1.044,0.344,0.251,14,0.084,4,0,0.787,5,24.82,10.75,0,Medium
P1225,Government,Agile,Co-located,T&M,28.94,309,14,3.21,4,15,10,1,17,0.637,7,312,0.616,0.162,0.081,4,0.205,2,7,0.605,9,32.92,12.39,1,High
P1256,Fintech,Hybrid,Distributed,Fixed Bid,48.49,188,13,3.56,2,20,8,0,15,0.223,0,0,1.041,0.304,0.039,0,0.134,5,2,0.582,8,11.4,-1.85,0,Low
P1439,Retail,Agile,Distributed,T&M,32.73,257,16,0.5,5,16,13,0,16,0.227,14,300,0.854,0.457,0.163,6,0.06,1,10,0.793,16,32.04,21.83,1,High
P1678,Retail,Hybrid,Co-located,Fixed Bid,32.37,453,17,5.24,4,8,12,0,20,0.527,0,0,0.886,0.058,0.225,5,0.124,2,4,0.92,12,23.45,22.53,1,Medium
